LogID,lat,lon,alt,time,5003_PM1,5003_PM2.5,5003_PM10,7003_PM1,7003_PM2.5,7003_PM10,Temperature,Relative_Humidity,Pressure,CO,NH3,NO2
0,n/a,n/a,n/a,n/a,2.5789473684210527,4.078947368421052,4.421052631578948,2.017543859649123,2.3421052631578947,2.6491228070175437,19.67452268366229,59.6815709484432,1020.5562247302164,7707.428571428572,908.0888888888888,4805.7657657657655
1,n/a,n/a,n/a,n/a,2.7719298245614037,5.035087719298246,5.745614035087719,2.043859649122807,2.3157894736842106,2.8947368421052633,19.966206483004395,59.44121608885992,1020.4926577845871,7742.608695652174,994.5168539325842,5127.045871559633
2,n/a,n/a,n/a,n/a,3.1842105263157894,4.5701754385964914,5.587719298245614,1.9649122807017543,2.280701754385965,2.5350877192982457,20.592859786184206,58.32153118865914,1020.5524031338707,6772.622222222222,1231.8117647058823,5030.901960784314
3,n/a,n/a,n/a,n/a,3.5,4.771929824561403,5.43859649122807,1.6491228070175439,1.8596491228070176,2.087719298245614,20.729011444627208,58.15487047616247,1020.7548004789329,6345.253012048192,1551.304347826087,6416.747663551402
4,n/a,n/a,n/a,n/a,3.087719298245614,4.456140350877193,4.684210526315789,1.5964912280701755,1.8596491228070176,2.1842105263157894,19.70136787280703,60.48428394577543,1020.8385166680406,7786.212765957447,1613.879518072289,5373.62962962963
5,n/a,n/a,n/a,n/a,2.8333333333333335,3.93859649122807,4.052631578947368,1.736842105263158,1.9035087719298245,2.1842105263157894,19.204179344846494,62.02427305510977,1020.8865537924194,7309.913043478261,1173.0823529411764,4711.009523809524
6,n/a,n/a,n/a,n/a,3.1491228070175437,4.105263157894737,4.421052631578948,2.0526315789473686,2.3596491228070176,2.789473684210526,18.80432325932017,63.38889830934551,1020.8429162631206,7599.120879120879,1272.3809523809523,4911.252336448598
7,n/a,n/a,n/a,n/a,2.93859649122807,3.6403508771929824,4.087719298245614,1.956140350877193,2.192982456140351,2.6491228070175437,18.66091591282895,64.11948227913473,1020.8566394520592,7577.04347826087,1609.025641025641,5029.682242990654
8,n/a,n/a,n/a,n/a,3.1491228070175437,4.043859649122807,4.043859649122807,1.587719298245614,1.7982456140350878,2.0350877192982457,18.26067605537281,65.44832499210041,1020.8923538133167,7016.347826086957,1882.4533333333334,4628.923076923077
9,n/a,n/a,n/a,n/a,3.017543859649123,4.017543859649122,4.5,1.780701754385965,1.9473684210526316,2.1491228070175437,18.089585731907903,66.16323028958556,1020.7666514587147,7013.64705882353,1962.3225806451612,5599.34693877551
10,n/a,n/a,n/a,n/a,3.1052631578947367,4.728070175438597,5.192982456140351,1.6578947368421053,1.8070175438596492,1.894736842105263,18.170475945723684,66.11916580493332,1020.6831599419485,7783.489361702128,2110.2702702702704,5605.333333333333
11,n/a,n/a,n/a,n/a,3.210526315789474,4.473684210526316,4.7368421052631575,2.1491228070175437,2.324561403508772,2.7280701754385963,18.104300986842112,66.438133634651,1020.740399188906,7603.612903225807,2888.3934426229507,5878.588235294118
12,n/a,n/a,n/a,n/a,2.991228070175439,4.078947368421052,4.280701754385965,1.6491228070175439,1.8245614035087718,2.1228070175438596,18.15535293311404,66.3948122537526,1020.6852370363986,7602.488888888889,2281.0746268656717,5733.433962264151
13,n/a,n/a,n/a,n/a,3.008771929824561,4.254385964912281,4.5701754385964914,1.8596491228070176,2.1140350877192984,2.543859649122807,18.042957442434226,66.85728650212387,1020.8083460771443,7204.869565217391,2844.0701754385964,5415.920792079208
14,n/a,n/a,n/a,n/a,2.5789473684210527,3.789473684210526,4.087719298245614,1.912280701754386,2.192982456140351,2.675438596491228,18.04345942982457,67.00981453739575,1020.9193252700799,7903.632183908046,2674.7169811320755,5361.777777777777
15,n/a,n/a,n/a,n/a,2.543859649122807,3.6842105263157894,3.6842105263157894,1.8421052631578947,2.0789473684210527,2.456140350877193,18.119692982456144,66.86790925369614,1020.950159341656,7512.666666666667,2961.0,5902.628571428571
16,n/a,n/a,n/a,n/a,2.456140350877193,3.6666666666666665,3.719298245614035,2.263157894736842,2.4298245614035086,2.754385964912281,17.98242427357457,67.42667238541128,1020.9834406580007,8552.791208791208,3766.4,5839.407407407408
17,n/a,n/a,n/a,n/a,2.543859649122807,3.5789473684210527,4.157894736842105,2.280701754385965,2.6052631578947367,3.087719298245614,17.653177083333347,68.67940764364636,1020.9885642461101,7525.8494623655915,3248.0,6079.378640776699
