LogID,lat,lon,alt,time,5003_PM1,5003_PM2.5,5003_PM10,7003_PM1,7003_PM2.5,7003_PM10,Temperature,Relative_Humidity,Pressure,CO,NH3,NO2
0,n/a,n/a,n/a,n/a,5.947368421052632,8.157894736842104,8.578947368421053,5.008771929824562,5.62280701754386,6.0701754385964914,21.623196614583335,60.51444906940684,1019.8856205890634,6518.651685393258,553.5438596491229,5300.425531914893
1,n/a,n/a,n/a,n/a,6.421052631578948,7.815789473684211,8.026315789473685,4.807017543859649,5.684210526315789,6.157894736842105,21.834111842105266,59.517995416729455,1019.9034941559974,8256.646464646465,545.6842105263158,6150.274509803921
2,n/a,n/a,n/a,n/a,6.359649122807017,8.307017543859649,8.807017543859649,4.508771929824562,5.298245614035087,5.631578947368421,21.888876439144756,59.16381246711004,1019.8757907353468,6013.866666666667,560.8421052631579,5564.666666666667
3,n/a,n/a,n/a,n/a,5.543859649122807,8.385964912280702,9.333333333333334,4.184210526315789,4.842105263157895,5.184210526315789,21.66637095668861,59.76327605225319,1019.9129568884248,7892.395604395604,553.5438596491229,5688.07619047619
4,n/a,n/a,n/a,n/a,5.640350877192983,8.25438596491228,8.736842105263158,4.087719298245614,4.62280701754386,4.982456140350878,21.715361842105267,59.37798114984369,1019.9020075667707,6757.446808510638,552.421052631579,4752.615384615385
5,n/a,n/a,n/a,n/a,7.0701754385964914,9.25438596491228,9.912280701754385,3.973684210526316,4.692982456140351,4.947368421052632,21.403060581140345,60.48161872881089,1019.9412532856034,7468.5842696629215,555.7894736842105,5223.529411764706
6,n/a,n/a,n/a,n/a,6.657894736842105,9.105263157894736,9.342105263157896,4.078947368421052,4.657894736842105,4.964912280701754,21.220256647478077,61.18522323336149,1020.021900892824,7399.550561797752,532.3893805309734,5100.865979381443
7,n/a,n/a,n/a,n/a,6.5964912280701755,9.096491228070175,9.517543859649123,3.824561403508772,4.192982456140351,4.517543859649122,21.050992667214924,61.949318659800674,1020.0932387800461,7290.61052631579,539.5087719298245,5566.693877551021
8,n/a,n/a,n/a,n/a,7.043859649122807,9.464912280701755,10.017543859649123,5.307017543859649,6.017543859649122,6.315789473684211,20.875482113486843,62.50091437229042,1020.1474365213707,6657.406593406594,557.1428571428571,4469.735849056604
9,n/a,n/a,n/a,n/a,6.175438596491228,8.570175438596491,8.991228070175438,5.280701754385965,6.052631578947368,6.517543859649122,20.572656935307037,63.69619492433569,1020.1756431517783,6646.5684210526315,550.2857142857143,4849.509433962264
10,n/a,n/a,n/a,n/a,5.447368421052632,6.947368421052632,7.657894736842105,5.271929824561403,5.868421052631579,6.43859649122807,20.203668791118425,65.11061358293401,1020.2093061014102,8124.041237113402,572.411214953271,4924.342857142857
11,n/a,n/a,n/a,n/a,5.4035087719298245,6.9035087719298245,6.956140350877193,5.7894736842105265,6.824561403508772,7.2894736842105265,20.165656524122817,65.4157738532143,1020.2661208662216,6706.086956521739,584.8888888888889,4952.854368932039
12,n/a,n/a,n/a,n/a,5.692982456140351,7.114035087719298,7.4298245614035086,4.885964912280702,5.5964912280701755,5.956140350877193,19.84262506853072,66.48484748210467,1020.313834454448,7044.869565217391,594.4615384615385,4543.418181818181
13,n/a,n/a,n/a,n/a,5.578947368421052,7.368421052631579,7.605263157894737,5.078947368421052,5.7894736842105265,6.175438596491228,19.68964912280702,66.94182561960099,1020.3771328387111,7029.106382978724,652.8,5059.1067961165045
14,n/a,n/a,n/a,n/a,5.93859649122807,8.096491228070175,9.280701754385966,5.394736842105263,6.385964912280702,6.93859649122807,19.471015625000017,67.51546287310494,1020.432400986416,6358.545454545455,648.2376237623762,4779.259259259259

